LAYER,DATATYPE,NAME,DESCRIPTION,PROCESS,PROCESS_DESCRIPTION,PURPOSE,PURPOSE_DESCRIPTION,FILL_COLOR,FILL_PATTERN,STROKE_COLOR
0,0,AMARK,Alignment mark,AMARK,,DRW,,,,
10,0,RIB,RIB WG etch 70nm,RIB_WG,,DRW,,BLUE,DIAGONAL,BLUE
11,0,GRAT,GC WG etch 60nm,GRAT_WG,,DRW,,CYAN,DIAGONAL,CYAN
12,0,SLAB,SLAB WG etch 90nm,SLAB_WG,,DRW,,MAGENTA,DIAGONAL,MAGENTA
20,0,PP,P+ on SiGe PD ,PP,,DRW,,RED,DIAGONAL,RED
21,0,PCONT,P++ on Si for Ohmic contact/90nm,PCONT,,DRW,,RED1,DIAGONAL,RED1
22,0,NCONT,N++ on Si for Ohmic contact/90nm,NCONT,,DRW,,DARKOLIVEGREEN,DIAGONAL,DARKOLIVEGREEN
23,0,PIM,P for modulator/220nm,PIM,,DRW,,RED2,DIAGONAL,RED2
24,0,NIM,N for modulator/220nm,NIM,,DRW,,DARKOLIVEGREEN1,DIAGONAL,DARKOLIVEGREEN1
25,0,IPD,intermediate P doping,IPD,,DRW,,RED3,DIAGONAL,RED3
26,0,IND,intermediate N doping,IND,,DRW,,DARKOLIVEGREEN2,DIAGONAL,DARKOLIVEGREEN2
40,0,GeEP,Germanium epitaxy 500nm,GeEP,,DRW,,ROSYBROWN,DIAGONAL,ROSYBROWN
41,0,NPPGE,N++ Ge epi for upper contact,NPPGE,,DRW,,ALICEBLUE,DIAGONAL,ALICEBLUE
53,0,SINWIN1,SiN Windows 1,SINWIN1,,DRW,,,,
54,0,SINWG1,PECVD SiN waveguide 1,SINWG1,,DRW,,,,
55,0,SINWINREV1,(Typically generated) SiN Windows 1 reverse,SINWINREV1,,DRW,,,,
100,0,VIA1,VIA1 to Si/Ge,VIA1,,DRW,,LIGHTPINK,DIAGONAL,LIGHTPINK
105,0,MT1,Metal 1 750nm,MT1,,DRW,,LIGHTBLUE,DIAGONAL,LIGHTBLUE
106,0,MT1R,(Typically generated) Metal 1 reverse and planarization,MT1R,,DRW,,,,
115,0,HTR,Heater TiN 120nm,HTR,,DRW,,LIGHTGRAY,DIAGONAL,LIGHTGRAY
120,0,VIA2,VIA2 to HTR & MT1,VIA2,,DRW,,LIGHTCORAL,DIAGONAL,LIGHTCORAL
125,0,MT2,Metal 2000nm,MT2,,DRW,,LIGHTSALMON,DIAGONAL,LIGHTSALMON
150,0,PAD,Pad Open,PAD,,DRW,,BLUE,DIAGONAL,BLUE
151,0,OXOP,Oxide Open to expose passive devices,OXOP,,DRW,,BLUE,DIAGONAL,BLUE
160,0,DTR,Deep trench,DT,,DRW,,BLUE,DIAGONAL,BLUE
10,4,TR, dummy fill for RIB WG,RIB_WG,,GEN,,BLUE,DIAGONAL,BLUE
105,4,TM1, dummy fill for Metal 1,MT1,,GEN,,BLUE,DIAGONAL,BLUE
1001,0,BLACKBOX,BLACKBOX Boundary,BLACKBOX,,DRW,,,,
1002,0,BB_LABEL,BLACKBOX text,BB_LABEL,,DRW,,,,
1010,0,BB_OP_SI,BLACKBOX Optical Ports for Si,BB_OP_SI,,DRW,,,,
1011,0,BB_OP_SIN,BLACKBOX Optical Ports for SiN,BB_OP_SIN,,DRW,,,,
1012,0,BB_OP_FB,BLACKBOX Optical Ports for Fiber,BB_OP_FB,,DRW,,,,
1020,0,BB_EP,BLACKBOX Electrical Ports,BB_EP,,DRW,,,,
1021,0,BB_MT1,BLACKBOX Electrical Ports for Metal 1,BB_MT1,,DRW,,,,
1022,0,BB_MT2,BLACKBOX Electrical Ports for Metal 2,BB_MT2,,DRW,,,,
2000,0,EXCL_DRC,DRC exclusion layer,EXCL_DRC,,DRW,,,,
200,0,LBL,label,LBL,,DRW,,BLUE,DIAGONAL,BLUE
201,0,MARKER,"Text layer, not to print on wafer",MARKER,,DRW,,BLUE,DIAGONAL,BLUE
202,0,BLACK_FP,Design outline(for IP device),BLACK_FP,,DRW,,BLUE,DIAGONAL,BLUE
