LAYER,DATATYPE,NAME,DESCRIPTION,PROCESS,PROCESS_DESCRIPTION,PURPOSE,PURPOSE_DESCRIPTION,FILL_COLOR,FILL_PATTERN,STROKE_COLOR
0,0,AMARK,Alignment mark,AMARK,,DRW,,DARKVIOLET,DIAGONAL,DARKVIOLET
10,0,RIB,RIB WG etch 70nm,RIB_WG,,DRW,,RED,BACK_DIAGONAL,RED
11,0,GRAT,GC WG etch 60nm,GRAT_WG,,DRW,,GOLDENROD4,GRID,GOLDENROD4
12,0,SLAB,SLAB WG etch 90nm,SLAB_WG,,DRW,,DARKORANGE3,DIAGONAL,DARKORANGE3
20,0,PP,P+ on SiGe PD ,PP,,DRW,,PAPAYAWHIP,BACK_DIAGONAL,PAPAYAWHIP
21,0,PCONT,P++ on Si for Ohmic contact/90nm,PCONT,,DRW,,SKYBLUE1,GRID,SKYBLUE1
22,0,NCONT,N++ on Si for Ohmic contact/90nm,NCONT,,DRW,,DARKVIOLET,DIAGONAL,DARKVIOLET
23,0,PIM,P for modulator/220nm,PIM,,DRW,,RED,BACK_DIAGONAL,RED
24,0,NIM,N for modulator/220nm,NIM,,DRW,,ROSYBROWN,DIAGONAL,ROSYBROWN
25,0,IPD,intermediate P doping,IPD,,DRW,,FUCHSIA,BACK_DIAGONAL,FUCHSIA
26,0,IND,intermediate N doping,IND,,DRW,,SIENNA3,DIAGONAL,SIENNA3
40,0,GeEP,Germanium epitaxy 500nm,GeEP,,DRW,,LIGHTPINK2,BACK_DIAGONAL,LIGHTPINK2
41,0,NPPGE,N++ Ge epi for upper contact,NPPGE,,DRW,,LIGHTPINK2,DIAGONAL,LIGHTPINK2
53,0,SINWIN1,SiN Windows 1,SINWIN1,,DRW,,CYAN,BACK_DIAGONAL,CYAN
54,0,SINWG1,PECVD SiN waveguide 1,SINWG1,,DRW,,KHAKI,GRID,KHAKI
55,0,SINWINREV1,(Typically generated) SiN Windows 1 reverse,SINWINREV1,,DRW,,FIREBRICK1,DOTTED,FIREBRICK1
100,0,VIA1,VIA1 to Si/Ge,VIA1,,DRW,,CYAN4,DIAGONAL,CYAN4
105,0,MT1,Metal 1 750nm,MT1,,DRW,,CYAN4,BACK_DIAGONAL,CYAN4
106,0,MT1R,(Typically generated) Metal 1 reverse and planarization,MT1R,,DRW,,CYAN4,DIAGONAL,CYAN4
115,0,HTR,Heater TiN 120nm,HTR,,DRW,,CORAL4,DIAGONAL,CORAL4
120,0,VIA2,VIA2 to HTR & MT1,VIA2,,DRW,,DARKSEAGREEN,DIAGONAL,DARKSEAGREEN
125,0,MT2,Metal 2000nm,MT2,,DRW,,GRAY11,GRID,GRAY11
150,0,PAD,Pad Open,PAD,,DRW,,DARKORCHID,DIAGONAL,DARKORCHID
151,0,OXOP,Oxide Open to expose passive devices,OXOP,,DRW,,LIGHTSEAGREEN,DIAGONAL,LIGHTSEAGREEN
160,0,DTR,Deep trench,DT,,DRW,,LAVENDERBLUSH4,DIAGONAL,LAVENDERBLUSH4
10,4,TR, dummy fill for RIB WG,RIB_WG,,GEN,,ORANGERED,BACK_DIAGONAL,ORANGERED
105,4,TM1, dummy fill for Metal 1,MT1,,GEN,,CYAN4,BACK_DIAGONAL,CYAN4
1001,0,BLACKBOX,BLACKBOX Boundary,BLACKBOX,,DRW,,PEACHPUFF,BACK_DIAGONAL,PEACHPUFF
1002,0,BB_LABEL,BLACKBOX text,BB_LABEL,,DRW,,SLATEGRAY,BACK_DIAGONAL,SLATEGRAY
1010,0,BB_OP_SI,BLACKBOX Optical Ports for Si,BB_OP_SI,,DRW,,LIGHTCYAN,DIAGONAL,LIGHTCYAN
1011,0,BB_OP_SIN,BLACKBOX Optical Ports for SiN,BB_OP_SIN,,DRW,,GRAY28,BACK_DIAGONAL,GRAY28
1012,0,BB_OP_FB,BLACKBOX Optical Ports for Fiber,BB_OP_FB,,DRW,,LIGHTSALMON4,GRID,LIGHTSALMON4
1020,0,BB_EP,BLACKBOX Electrical Ports,BB_EP,,DRW,,LIGHTPINK1,DOTTED,LIGHTPINK1
1021,0,BB_MT1,BLACKBOX Electrical Ports for Metal 1,BB_MT1,,DRW,,CYAN4,DIAGONAL,CYAN4
1022,0,BB_MT2,BLACKBOX Electrical Ports for Metal 2,BB_MT2,,DRW,,LINEN,GRID,LINEN
2000,0,EXCL_DRC,DRC exclusion layer,EXCL_DRC,,DRW,,THISTLE4,DIAGONAL,THISTLE4
200,0,LBL,label,LBL,,DRW,,TOMATO4,GRID,TOMATO4
201,0,MARKER,"Text layer, not to print on wafer",MARKER,,DRW,,DODGERBLUE3,GRID,DODGERBLUE3
202,0,BLACK_FP,Design outline(for IP device),BLACK_FP,,DRW,,RED,GRID,RED
