["op_0","LEFT"]
["op_1","RIGHT"]
["op_2","RIGHT"]
("op_0","mode 1",1,"op_0",1,"transmission")
(1000, 3)
1.9156067603833869e+14 2.7442972188120671e-02 -6.4430396820656299e-01
1.9156506253180034e+14 2.7351617044051896e-02 -6.3548125587455162e-01
1.9156944902526200e+14 2.7260363112957844e-02 -6.2664416544812684e-01
1.9157383551872366e+14 2.7169214678454557e-02 -6.1779257455545133e-01
1.9157822201218531e+14 2.7078176028702078e-02 -6.0892636075894513e-01
1.9158260850564697e+14 2.6987251456306455e-02 -6.0004540158090214e-01
1.9158699499910866e+14 2.6896445258225463e-02 -5.9114957452887118e-01
1.9159138149257031e+14 2.6805761735653546e-02 -5.8223875712276063e-01
1.9159576798603197e+14 2.6715205193917204e-02 -5.7331282692165209e-01
1.9160015447949362e+14 2.6624779942360337e-02 -5.6437166155266683e-01
1.9160454097295528e+14 2.6534490294231033e-02 -5.5541513873955883e-01
1.9160892746641694e+14 2.6444340566556500e-02 -5.4644313633336528e-01
1.9161331395987859e+14 2.6354335080018110e-02 -5.3745553234266974e-01
1.9161770045334025e+14 2.6264478158826206e-02 -5.2845220496577472e-01
1.9162208694680191e+14 2.6174774130581172e-02 -5.1943303262337304e-01
1.9162647344026356e+14 2.6085227326138084e-02 -5.1039789399211488e-01
1.9163085993372522e+14 2.5995842079459482e-02 -5.0134666803915340e-01
1.9163524642718688e+14 2.5906622727470647e-02 -4.9227923405790713e-01
1.9163963292064856e+14 2.5817573609901338e-02 -4.8319547170430904e-01
1.9164401941411022e+14 2.5728699069128072e-02 -4.7409526103471017e-01
1.9164840590757188e+14 2.5640003450011752e-02 -4.6497848254386070e-01
1.9165279240103353e+14 2.5551491099716994e-02 -4.5584501720487097e-01
1.9165717889449519e+14 2.5463166367545882e-02 -4.4669474650948604e-01
1.9166156538795684e+14 2.5375033604748916e-02 -4.3752755250987352e-01
1.9166595188141850e+14 2.5287097164333503e-02 -4.2834331786116048e-01
1.9167033837488016e+14 2.5199361400869428e-02 -4.1914192586513382e-01
1.9167472486834181e+14 2.5111830670283379e-02 -4.0992326051494998e-01
1.9167911136180347e+14 2.5024509329651941e-02 -4.0068720654133921e-01
1.9168349785526512e+14 2.4937401736978212e-02 -3.9143364945904507e-01
1.9168788434872678e+14 2.4850512250969233e-02 -3.8216247561524069e-01
1.9169227084218847e+14 2.4763845230801405e-02 -3.7287357223851397e-01
1.9169665733565012e+14 2.4677405035879060e-02 -3.6356682748948627e-01
1.9170104382911178e+14 2.4591196025584142e-02 -3.5424213051178216e-01
