LAYER,DATATYPE,NAME,DESCRIPTION,PROCESS,PROCESS_DESCRIPTION,PURPOSE,PURPOSE_DESCRIPTION,FILL_COLOR,FILL_PATTERN,STROKE_COLOR
1,1,FWG_COR,Full Etch waveguide core,FWG,Full etch,COR,Waveguide core,BLUE,DIAGONAL,BLUE
1,2,FWG_CLD,Full Etch waveguide cladding,FWG,Full etch,CLD,Waveguide cladding,BLUE,BACK_DIAGONAL,BLUE
1,4,FWG_TRE,Full Etch waveguide trench,FWG,Full etch,TRE,Waveguide trench,BLUE,DIAGONAL,BLUE
1,5,FWG_HOL,Full Etch waveguide hole lattice,FWG,Full etch,HOL,Waveguide hole lattice,BLUE,BACK_DIAGONAL,BLUE
2,1,SWG_COR,Shallow Etch waveguide core,SWG,Shallow etch,COR,Waveguide core,CYAN,DIAGONAL,CYAN
2,2,SWG_CLD,Shallow Etch waveguide cladding,SWG,Shallow etch,CLD,Waveguide cladding,CYAN,BACK_DIAGONAL,CYAN
2,4,SWG_TRE,Shallow Etch waveguide trench,SWG,Shallow etch,TRE,Waveguide trench,CYAN,DIAGONAL,CYAN
2,5,SWG_HOL,Shallow Etch waveguide hole lattice,SWG,Shallow etch,HOL,Waveguide hole lattice,GREEN,BACK_DIAGONAL,GREEN
3,1,MWG_COR,Medium Etch waveguide core,MWG,Medium etch,COR,Waveguide core,FUCHSIA,DIAGONAL,FUCHSIA
3,2,MWG_CLD,Medium Etch waveguide cladding,MWG,Medium etch,CLD,Waveguide cladding,FUCHSIA,BACK_DIAGONAL,FUCHSIA
3,4,MWG_TRE,Medium Etch waveguide trench,MWG,Medium etch,TRE,Waveguide trench,FUCHSIA,DIAGONAL,FUCHSIA
3,5,MWG_HOL,Medium Etch waveguide hole lattice,MWG,Medium etch,HOL,Waveguide hole lattice,FUCHSIA,BACK_DIAGONAL,FUCHSIA
20,3,NP_DRW,"NP, for MOD slab, Ge etc.",NP,"NP, for MOD slab, Ge etc.",DRW,Drawing,DARKVIOLET,DIAGONAL,DARKVIOLET
21,3,PP_DRW,"PP, for MOD slab, Ge etc.",PP,"PP, for MOD slab, Ge etc.",DRW,Drawing,RED,BACK_DIAGONAL,RED
23,3,N_DRW,N type light doping,N,N type light doping,DRW,Drawing,GOLDENROD4,GRID,GOLDENROD4
24,3,P_DRW,P type light doping,P,P type light doping,DRW,Drawing,DARKORANGE3,DIAGONAL,DARKORANGE3
25,3,N2_DRW,N2 type light doping 2,N2,N type light doping 2,DRW,Drawing,PAPAYAWHIP,BACK_DIAGONAL,PAPAYAWHIP
26,3,P2_DRW,P2 type light doping 2,P2,P type light doping 2,DRW,Drawing,SKYBLUE1,GRID,SKYBLUE1
27,3,NPP_DRW,N++ implement,NPP,N++ implant,DRW,Drawing,DARKVIOLET,DIAGONAL,DARKVIOLET
28,3,PPP_DRW,P++ implement,PPP,P++ implant,DRW,Drawing,RED,BACK_DIAGONAL,RED
29,3,GE_DRW,Germanium epitaxy,GE,Ge epitaxy,DRW,Drawing,ROSYBROWN,DIAGONAL,ROSYBROWN
30,3,SIL_DRW,Silicide area,SIL,Silicide area,DRW,Drawing,FUCHSIA,BACK_DIAGONAL,FUCHSIA
31,3,TIN_DRW,TiN heater,TIN,TiN Metal heater,DRW,Drawing,SIENNA3,DIAGONAL,SIENNA3
32,3,CONT_DRW,Contact,CONT,Contact,DRW,Drawing,LIGHTPINK2,BACK_DIAGONAL,LIGHTPINK2
33,3,M1_DRW,Metal 1,M1,Metal 1,DRW,Drawing,LIGHTPINK2,DIAGONAL,LIGHTPINK2
34,3,VIA1_DRW,Via 1 on M1,VIA1,VIA1 on M1,DRW,Drawing,CYAN,BACK_DIAGONAL,CYAN
35,3,M2_DRW,Metal 2,M2,Metal 2,DRW,Drawing,KHAKI,GRID,KHAKI
36,3,VIA2_DRW,Via 2 on M2,VIA2,VIA2 on M2,DRW,Drawing,FIREBRICK1,DOTTED,FIREBRICK1
43,3,MT_DRW,Metal Top,MT,Metal Top,DRW,Drawing,CYAN4,DIAGONAL,CYAN4
50,11,PASS_EC,"Passivation, open EC",PASS,Passivation open window,EC,,CYAN4,BACK_DIAGONAL,CYAN4
50,12,PASS_GC,"Passivation, open GC",PASS,Passivation open window,GC,,CYAN4,DIAGONAL,CYAN4
50,13,PASS_MT,"Passivation, open MT",PASS,Passivation open window,MT,,CORAL4,DIAGONAL,CORAL4
51,3,TH_ISO_DRW,Thermal isolation,TH_ISO,Thermal isolation,DRW,Drawing,DARKSEAGREEN,DIAGONAL,DARKSEAGREEN
52,3,DT_DRW,Deep Trench for edge coupler,DT,Deep Trench for edge coupler,DRW,Drawing,GRAY11,GRID,GRAY11
55,3,LABEL_DRW,Label to print on FWG,LABEL,Label to print on FWG,DRW,Drawing,DARKORCHID,DIAGONAL,DARKORCHID
56,30,TEXT_NOTE,"Text layer, not to print on wafer",TEXT,"Text, not to print on wafer",NOTE,Note,LIGHTSEAGREEN,DIAGONAL,LIGHTSEAGREEN
60,21,IOPORT_OREC,"Optical port, for testing",IOPORT,"Port, for testing",OREC,Optical,LAVENDERBLUSH4,DIAGONAL,LAVENDERBLUSH4
60,22,IOPORT_EREC,"Electrical port, for testing",IOPORT,"Port, for testing",EREC,Electrical,ORANGERED,BACK_DIAGONAL,ORANGERED
70,30,PINREC_NOTE,"Pin rectangle, for LVS, DRC",PINREC,"Pin rectangle, for LVS, DRC",NOTE,Note,CYAN4,BACK_DIAGONAL,CYAN4
70,31,PINREC_FWG,"Pin rectangle, for LVS, DRC",PINREC,"Pin rectangle, for LVS, DRC",FWG,Full etch,PEACHPUFF,BACK_DIAGONAL,PEACHPUFF
70,32,PINREC_SWG,"Pin rectangle, for LVS, DRC",PINREC,"Pin rectangle, for LVS, DRC",SWG,Shallow etch,SLATEGRAY,BACK_DIAGONAL,SLATEGRAY
70,33,PINREC_MWG,"Pin rectangle, for LVS, DRC",PINREC,"Pin rectangle, for LVS, DRC",MWG,Medium etch,LIGHTCYAN,DIAGONAL,LIGHTCYAN
70,41,PINREC_TEXT,"Pin rectangle, for LVS, DRC",PINREC,"Pin rectangle, for LVS, DRC",TEXT,Text,GRAY28,BACK_DIAGONAL,GRAY28
71,30,FIBREC_NOTE,"Fiber rectangle, for LVS, DRC",FIBREC,"Fiber rectangle, for LVSS, DRC",NOTE,Note,LIGHTSALMON4,GRID,LIGHTSALMON4
72,30,FIBTGT_NOTE,Fiber Target for LVS,FIBTGT,Fiber Target for LVS,NOTE,Note,LIGHTPINK1,DOTTED,LIGHTPINK1
80,30,DEVREC_NOTE,"Device rectangle, for LVS, DRC",DEVREC,"Device rectangle, for LVS, DRC",NOTE,Note,CYAN4,DIAGONAL,CYAN4
90,30,PAYLOAD_NOTE,Design area,PAYLOAD,Design area,NOTE,Note,LINEN,GRID,LINEN
81,3,M1KO_DRW,Tilling keep-out for M1,M1KO,Tilling keep-out for M1,DRW,Drawing,THISTLE4,DIAGONAL,THISTLE4
82,3,MTKO_DRW,Tilling keep-out for MT,MTKO,Tilling keep-out for MT,DRW,Drawing,TOMATO4,GRID,TOMATO4
83,3,SIKO_DRW,Tiliing keep-out for Silicon,SIKO,Tiliing keep-out for Silicon,DRW,Drawing,DODGERBLUE3,GRID,DODGERBLUE3
91,35,FLYLINE_MARK,Flyline for insufficient space in AutoLink,FLYLINE,Fly line,MARK,Mark,RED,GRID,RED
92,35,ERROR_MARK,Error mark,ERROR,Error,MARK,Mark,YELLOW,BACK_DIAGONAL,YELLOW
